id,user,uid,version,changeset,timestamp
10132038,mvexel,8909,4,22241600,2014-05-09T22:51:50Z
10132082,TheDutchMan13,1330847,9,49209938,2017-06-02T23:35:22Z
10132116,TheDutchMan13,1330847,8,49209938,2017-06-02T23:35:25Z
10132156,TheDutchMan13,1330847,34,49209938,2017-06-02T23:35:29Z
10132193,torapa,5446055,5,50608999,2017-07-27T06:33:40Z
10132226,TheDutchMan13,1330847,8,49209938,2017-06-02T23:35:34Z
10132265,TheDutchMan13,1330847,5,49210345,2017-06-03T00:30:54Z
10132306,TheDutchMan13,1330847,3,49210345,2017-06-03T00:30:56Z
10132348,TheDutchMan13,1330847,3,49210345,2017-06-03T00:30:58Z
10132392,torapa,5446055,6,50609818,2017-07-27T07:06:14Z
10132428,TheDutchMan13,1330847,6,49209938,2017-06-02T23:35:46Z
10132464,TheDutchMan13,1330847,8,49209938,2017-06-02T23:35:49Z
10132497,TheDutchMan13,1330847,6,49209938,2017-06-02T23:35:52Z
10132545,TheDutchMan13,1330847,4,49210345,2017-06-03T00:31:07Z
10132582,TheDutchMan13,1330847,5,49209938,2017-06-02T23:35:58Z
10132618,mvexel,8909,5,25757821,2014-09-29T23:08:47Z
10132663,TheDutchMan13,1330847,7,49209938,2017-06-02T23:36:03Z
10132726,mvexel,8909,6,25757821,2014-09-29T23:08:53Z
10132776,TheDutchMan13,1330847,4,49209938,2017-06-02T23:36:10Z
10132836,TheDutchMan13,1330847,4,49210345,2017-06-03T00:31:17Z
10132877,TheDutchMan13,1330847,7,49209938,2017-06-02T23:36:15Z
10132914,TheDutchMan13,1330847,4,49209938,2017-06-02T23:36:18Z
10132963,TheDutchMan13,1330847,3,49210345,2017-06-03T00:31:23Z
10133001,TheDutchMan13,1330847,3,49209938,2017-06-02T23:36:23Z
10133041,afdreher,1110270,10,28910718,2015-02-17T15:01:06Z
10133084,Kevin Atkinson,321736,5,5405091,2010-08-05T07:25:10Z
10133125,TheDutchMan13,1330847,8,49209938,2017-06-02T23:36:30Z
10133161,osmjwh,5084396,8,51498437,2017-08-28T06:20:24Z
10133214,TheDutchMan13,1330847,5,49210345,2017-06-03T00:31:34Z
10133252,TheDutchMan13,1330847,5,49210345,2017-06-03T00:31:36Z
10133289,butlerm,104930,3,2070604,2009-08-07T23:19:05Z
10133321,TheDutchMan13,1330847,5,49209938,2017-06-02T23:36:41Z
10133370,TheDutchMan13,1330847,6,49209938,2017-06-02T23:36:44Z
10133405,TheDutchMan13,1330847,7,49209938,2017-06-02T23:36:46Z
10133443,TheDutchMan13,1330847,4,49210345,2017-06-03T00:31:45Z
10133476,TheDutchMan13,1330847,4,49210345,2017-06-03T00:31:46Z
10133512,TheDutchMan13,1330847,5,49210345,2017-06-03T00:31:49Z
10133576,TheDutchMan13,1330847,5,49210345,2017-06-03T00:31:50Z
10133608,TheDutchMan13,1330847,10,49209938,2017-06-02T23:37:00Z
10133641,TheDutchMan13,1330847,7,49209938,2017-06-02T23:37:02Z
10133677,TheDutchMan13,1330847,6,49209938,2017-06-02T23:37:05Z
10133713,TheDutchMan13,1330847,5,49210345,2017-06-03T00:31:59Z
10133747,TheDutchMan13,1330847,5,49210345,2017-06-03T00:32:02Z
10133782,TheDutchMan13,1330847,4,49210345,2017-06-03T00:32:03Z
10133827,TheDutchMan13,1330847,3,49209938,2017-06-02T23:37:14Z
10133890,TheDutchMan13,1330847,6,49210345,2017-06-03T00:32:08Z
10133931,TheDutchMan13,1330847,4,49210345,2017-06-03T00:32:10Z
10133972,TheDutchMan13,1330847,21,49209938,2017-06-02T23:37:23Z
10134011,TheDutchMan13,1330847,5,49210345,2017-06-03T00:32:13Z
10134052,TheDutchMan13,1330847,6,49209938,2017-06-02T23:37:29Z
10134090,TheDutchMan13,1330847,6,49210345,2017-06-03T00:32:18Z
10134126,TheDutchMan13,1330847,7,49209938,2017-06-02T23:37:34Z
10134162,osmjwh,5084396,11,52672735,2017-10-06T06:22:03Z
10134201,torapa,5446055,5,50609818,2017-07-27T07:06:17Z
10134245,TheDutchMan13,1330847,3,49210345,2017-06-03T00:32:26Z
10134281,TheDutchMan13,1330847,9,49209938,2017-06-02T23:37:43Z
10134316,TheDutchMan13,1330847,9,49209938,2017-06-02T23:37:45Z
10134346,TheDutchMan13,1330847,4,49209938,2017-06-02T23:37:47Z
10134385,TheDutchMan13,1330847,5,49209938,2017-06-02T23:37:50Z
10134425,TheDutchMan13,1330847,4,49210345,2017-06-03T00:32:38Z
10134459,TheDutchMan13,1330847,4,49210345,2017-06-03T00:32:40Z
10134493,TheDutchMan13,1330847,5,49210345,2017-06-03T00:32:42Z
10134540,TheDutchMan13,1330847,10,49210345,2017-06-03T00:32:45Z
